id,project_id,name,budget_alloc
project_line_84,[Sewing workshop] Supply,Other-Plastic bag,1800
project_line_85,[Sewing workshop] Supply,Other-Small materials,8000
project_line_86,[Sewing workshop] Operation costs,Rent-Rent,54000
project_line_87,[Sewing workshop] Operation costs,Utilities-Electricity,36000
project_line_88,[Sewing workshop] Operation costs,Utilities-Used water,0
project_line_89,[Sewing workshop] Operation costs,Utilities-Sanitation,6000
project_line_90,[Sewing workshop] Operation costs,Other Operation costs-Transportation,12000
project_line_91,[Sewing workshop] Operation costs,Other Operation costs-Mainternance,10000
project_line_92,[Sewing workshop] Staff salary,Staff salary-Sewing workshop manager,128000
project_line_93,[Sewing workshop] Staff salary,Staff salary-Toilor,108800
project_line_94,[Sewing workshop] Staff salary,Staff salary-Senior seamstress,220416
project_line_95,[Sewing workshop] Staff salary,Staff salary-Junior seamstress,161395
project_line_96,[Sewing workshop] Staff salary,Staff salary-Logistic,58125
project_line_97,[Sewing workshop] Staff salary,Staff salary-designer,137500
project_line_98,[Sewing workshop] Staff salary,Staff salary-Work permit,41800
project_line_99,[Sewing workshop] Staff Capacity building,Staff Capacity building-Sewing training,2000
project_line_100,[Sewing workshop] Staff Capacity building,Staff Capacity building-Filed visit to factory,1000
project_line_101,[Sanitation assistant] Toilet,Toilet,10000
project_line_102,[Sanitation assistant] Drinking water,Drinking water,0
project_line_103,[Emergency] Emergency,Emergency,0
project_line_104,[Central Kitchen] Equipment & Improvement,Improvement and building Maintenance ,30000
project_line_105,[Central Kitchen] Equipment & Improvement,Equipment-Gas stove,10200
project_line_106,[Central Kitchen] Equipment & Improvement,Equipment-Big pot,11600
project_line_107,[Central Kitchen] Equipment & Improvement,Equipment-Big pan,3800
project_line_108,[Central Kitchen] Equipment & Improvement,Equipment-Cooking utensils,20000
project_line_109,[Central Kitchen] Equipment & Improvement,Equipment-Food container ,4800
project_line_110,[Central Kitchen] Equipment & Improvement,Equipment-Rice container,14000
project_line_111,[Central Kitchen] Equipment & Improvement,Equipment-Drinking water tank,4500
project_line_112,[Central Kitchen] Equipment & Improvement,Equipment-Other,10000
project_line_113,[Central Kitchen] Equipment & Improvement,Furniture-Meeting table,6600
project_line_114,[Central Kitchen] Equipment & Improvement,Furniture-Meeting chair,10000
project_line_115,[Central Kitchen] transportation,Insurance car and car tax,63000
project_line_116,[Central Kitchen] transportation,Petrol,300000
project_line_117,[Central Kitchen] transportation,Car maintenance ,60000
project_line_118,[Central Kitchen] Rent & Utilities,Rent and tax,103200
project_line_119,[Central Kitchen] Rent & Utilities,Electricity,12000
project_line_120,[Central Kitchen] Rent & Utilities,Water/ used and waste,0
project_line_121,[Central Kitchen] Rent & Utilities,Telephone,12000
project_line_122,[Central Kitchen] Rent & Utilities,Garvage collection,600
project_line_123,[Central Kitchen] Staff salaries & capacity building,Staff salaries-Manager,145200
project_line_124,[Central Kitchen] Staff salaries & capacity building,Staff salaries-Nutritionist,0
project_line_125,[Central Kitchen] Staff salaries & capacity building,Staff salaries-Cook,211200
project_line_126,[Central Kitchen] Staff salaries & capacity building,Staff salaries-Driver,181200
project_line_127,[Central Kitchen] Staff salaries & capacity building,Staff salaries-Senior Assistant,156000
project_line_128,[Central Kitchen] Staff salaries & capacity building,Staff salaries-Junior Assistant,102000
project_line_129,[Central Kitchen] Staff salaries & capacity building,Staff salaries-Logistician (share cost 70 %),138600
project_line_130,[Central Kitchen] Staff salaries & capacity building,Staff salaries-Work permit,30400
project_line_131,[Central Kitchen] Staff salaries & capacity building,Staff salaries-Over time work,0
project_line_132,[Central Kitchen] Staff salaries & capacity building,Staff salaries-Health Check up,10000
project_line_133,[Central Kitchen] Staff salaries & capacity building,Staff Capacity building-Fire Safety& First Aid training,2000
project_line_134,[Central Kitchen] Staff salaries & capacity building,Staff Capacity building-Safety food and Nutrition training,25000
project_line_135,[Central Kitchen] Staff salaries & capacity building,Staff Capacity building-Production place visit  Vegetable,2500
project_line_136,"[Central Kitchen] Cooking gas ,Sanitation, Water filter",Cooking gas,583200
project_line_137,"[Central Kitchen] Cooking gas ,Sanitation, Water filter",Plastic bag for store food,93500
project_line_138,"[Central Kitchen] Cooking gas ,Sanitation, Water filter",Cleaning detergent,14400
project_line_139,"[Central Kitchen] Cooking gas ,Sanitation, Water filter",Cleaning and change of filter clean water system,36000
project_line_140,"[Central Kitchen] Cooking gas ,Sanitation, Water filter",Other,24000
project_line_141,[Central Kitchen] Food,Vegetable & meat,6889533
project_line_142,[Central Kitchen] Rice,Rice,2463750
project_line_143,[Agriculture] Organic agriculture,Organic agriculture,30000
project_line_144,[Agriculture] Salaries,Salaries,96000
project_line_145,[Utilities and Facilities] ,Electricity,40000
project_line_146,[Utilities and Facilities] ,Television,0
project_line_147,[Utilities and Facilities] ,Drinking Water/ Coffee,5000
project_line_148,[Utilities and Facilities] ,Used Water,12000
project_line_149,[Utilities and Facilities] ,Products for cleaning and sanitation,12000
project_line_150,[Utilities and Facilities] ,Material for fixing or improvements,10000
project_line_151,[Utilities and Facilities] ,Labour cost for fixing or improvements,5000
project_line_152,[Project assistant] ,Thialand operation coordinator,678400
project_line_153,[Project assistant] ,PR manager,449000
project_line_154,[Project assistant] ,Office manager,322600
project_line_155,[Project assistant] ,Education manager assistant (Share cost),63650
project_line_156,[Project assistant] ,Driver,100500
project_line_157,[Project assistant] ,Office maid,76800
project_line_158,[Project assistant] ,Gardener,51200
project_line_159,[Project assistant] ,IT volunteer,96000
project_line_160,[Project assistant] ,Designer,147400
project_line_161,[Project assistant] ,New staff,198000
project_line_162,[Project assistant] ,Work permit,10000
project_line_163,[Project assistant] ,Insurance / Health / Medicine / Social insurance,50000
project_line_164,[Project assistant] ,Additional expenses salary Staff,10000
project_line_165,[Project assistant] ,Food/Drinks  voluntary helpers,3000
project_line_166,[Project assistant] ,Thai Foundation Auditing/ Accounting ,50000
project_line_167,[Project assistant] ,Contribution to staff saving schem,40000
project_line_168,[Project assistant] ,Staff of the year ,17000
project_line_169,"[Travels, Car, Flights and Lodging] ",Insurance Car,40000
project_line_170,"[Travels, Car, Flights and Lodging] ",Tax-Car,15000
project_line_171,"[Travels, Car, Flights and Lodging] ",Tax-Motorbike,1000
project_line_172,"[Travels, Car, Flights and Lodging] ",Maintenance-Car,20000
project_line_173,"[Travels, Car, Flights and Lodging] ",Maintenance-Motorbike,3500
project_line_174,"[Travels, Car, Flights and Lodging] ",Accessories car,3000
project_line_175,"[Travels, Car, Flights and Lodging] ",Gasoline,120000
project_line_176,"[Travels, Car, Flights and Lodging] ","Bus, Train, Taxi",7000
project_line_177,"[Travels, Car, Flights and Lodging] ",Car rent,4000
project_line_178,"[Travels, Car, Flights and Lodging] ",Expressway toll,1000
project_line_179,"[Travels, Car, Flights and Lodging] ",Hotel and lodging Thailand,5000
project_line_180,[Office supplies] ,Office supplies,20000
project_line_181,[Office supplies] ,Flowers,2000
project_line_182,[Office supplies] ,Picture prints,1000
project_line_183,[Office supplies] ,Ink for printer/ Toner,5000
project_line_184,[Office supplies] ,CD/ DVD,1000
project_line_185,[Equipment furniture and machines] ,Accessories for all,30000
project_line_186,[Equipment furniture and machines] ,Equipment for gardening,1000
project_line_187,[Communication and shipping] ,Telephone/ Communications / Post,18000
project_line_188,[Communication and shipping] ,Internet,17880
project_line_189,[Communication and shipping] ,Digital Camera,0
project_line_190,[Public relations and information] ,Brochures and leaflets,10000
project_line_191,[Public relations and information] ,Business Cards,1000
project_line_192,[Public relations and information] ,"Signs, boards and stickers",2000
project_line_193,[Public relations and information] ,Gifts for guests and partners,3000
project_line_194,[Public relations and information] ,News releases and fundraising,0
project_line_195,[Food and related costs] ,Restaurants and food for guests,18000
project_line_196,[Food and related costs] ,All expenses not listed above,10000
project_line_197,[Events and conferences] ,All expenses related to specific events,50000
